STATE,ST_CASE,PVH_INVL,PERNOTMVIT,PERMVIT,PERSONS,RD_OWNER,MAN_COLL,SCH_BUS,CF1,CF2,CF3,FATALS,DRUNK_DR
36,360764,0,0,4,4,1,2,0,0,0,0,1,0
36,360765,0,1,12,12,3,0,0,0,0,0,1,0
36,360766,0,0,1,1,1,0,0,0,0,0,1,0
36,360767,0,1,1,1,4,0,0,0,0,0,1,0
36,360768,0,1,1,1,3,0,0,0,0,0,1,0
36,360769,0,1,1,1,3,0,0,0,0,0,1,0
36,360770,0,0,1,1,2,0,0,0,0,0,1,0
36,360771,0,1,1,1,1,0,0,0,0,0,1,0
36,360772,0,1,1,1,2,0,0,0,0,0,1,0
36,360773,0,1,2,2,1,0,0,0,0,0,1,0
36,360774,0,1,2,2,2,0,0,0,0,0,1,0
36,360775,0,0,2,2,2,2,0,0,0,0,1,0
36,360776,0,0,2,2,1,2,0,0,0,0,1,0
36,360777,0,1,1,1,3,0,0,0,0,0,1,0
36,360778,0,0,3,3,1,0,0,0,0,0,1,0
36,360779,0,0,1,1,3,0,0,0,0,0,1,0
36,360780,0,0,4,4,3,6,0,0,0,0,1,2
36,360781,0,0,1,1,2,0,0,0,0,0,1,0
36,360782,0,1,1,1,4,0,0,0,0,0,1,0
36,360783,0,1,1,1,1,0,0,0,0,0,1,0
36,360784,0,0,2,2,4,6,0,0,0,0,1,0
36,360785,0,0,2,2,3,6,0,0,0,0,1,0
36,360786,0,0,5,5,1,0,0,0,0,0,1,0
36,360787,0,1,1,1,1,0,0,0,0,0,1,0
36,360788,0,0,1,1,2,0,0,0,0,0,1,0
36,360789,0,0,1,1,4,0,0,0,0,0,1,1
36,360790,0,1,1,1,4,0,0,0,0,0,1,0
36,360791,0,1,1,1,1,0,0,0,0,0,1,0
36,360792,0,1,1,1,3,0,0,0,0,0,1,1
36,360793,0,1,1,1,1,0,0,0,0,0,1,0
36,360794,0,1,1,1,4,0,0,0,0,0,1,0
36,360795,0,0,3,3,1,6,0,0,0,0,1,0
36,360796,0,0,3,3,1,6,0,0,0,0,1,0
36,360797,0,0,2,2,3,6,0,0,0,0,1,0
36,360798,0,0,1,1,3,0,0,0,0,0,1,0
36,360799,0,4,1,1,4,0,0,0,0,0,1,1
36,360800,0,0,5,5,1,6,0,0,0,0,1,0
36,360801,0,7,3,3,4,1,0,0,0,0,3,0
36,360802,0,0,4,4,3,6,0,0,0,0,1,0
36,360803,0,0,1,1,1,0,0,0,0,0,1,0
36,360804,0,1,2,2,1,0,0,0,0,0,1,0
36,360805,0,0,1,1,3,0,0,0,0,0,1,1
36,360806,0,1,1,1,4,0,0,0,0,0,1,0
36,360807,0,0,2,2,3,0,0,0,0,0,1,1
36,360808,0,1,1,1,4,0,0,0,0,0,1,0
36,360809,0,0,1,1,3,0,0,0,0,0,1,0
36,360810,0,1,1,1,3,0,0,0,0,0,1,0
36,360811,0,1,2,2,4,0,0,0,0,0,1,1
36,360812,0,0,2,2,1,0,0,0,0,0,1,0
36,360813,0,1,1,1,4,0,0,0,0,0,1,0
36,360814,0,0,3,3,4,2,0,0,0,0,1,0
36,360815,0,1,1,1,4,0,0,0,0,0,1,0
36,360816,0,1,1,1,4,0,0,0,0,0,1,0
36,360817,0,1,1,1,4,0,0,0,0,0,1,0
36,360818,0,0,2,2,1,0,0,0,0,0,2,0
36,360819,0,1,1,1,3,0,0,0,0,0,1,0
36,360820,0,1,1,1,4,0,0,0,0,0,1,0
36,360821,0,1,2,2,4,0,0,0,0,0,1,0
36,360822,0,1,1,1,4,0,0,0,0,0,1,0
36,360823,0,0,7,7,1,0,0,0,0,0,1,0
36,360824,0,0,4,4,1,2,0,0,0,0,2,1
36,360825,0,0,3,3,2,2,0,0,0,0,1,0
36,360826,0,1,1,1,2,0,0,0,0,0,1,0
36,360827,0,0,2,2,1,6,0,0,0,0,1,0
36,360828,0,0,1,1,1,0,0,0,0,0,1,0
36,360829,0,0,2,2,1,6,0,0,0,0,1,0
36,360830,0,0,1,1,4,0,0,0,0,0,1,1
36,360831,0,1,2,2,3,0,0,0,0,0,1,0
36,360832,0,0,5,5,1,0,0,0,0,0,1,1
36,360833,0,1,1,1,2,0,0,0,0,0,1,0
36,360834,0,0,3,3,4,7,0,0,0,0,1,0
36,360835,0,0,4,4,4,2,0,0,0,0,1,0
36,360836,0,1,1,1,1,0,0,0,0,0,1,0
36,360837,0,0,2,2,3,6,0,0,0,0,1,0
36,360838,0,0,1,1,1,0,0,0,0,0,1,0
36,360839,1,1,1,1,3,0,0,23,0,0,1,0
36,360840,0,1,1,1,1,0,0,0,0,0,1,1
36,360841,0,1,1,1,2,0,0,0,0,0,1,0
36,360842,0,1,1,1,3,0,0,0,0,0,1,0
36,360843,0,0,2,2,1,0,0,0,0,0,1,1
36,360844,0,1,1,1,3,0,0,0,0,0,1,0
36,360845,0,0,3,3,1,2,0,0,0,0,1,0
36,360846,0,0,2,2,2,6,0,0,0,0,1,1
36,360847,0,0,1,1,3,0,0,0,0,0,1,1
36,360848,1,2,2,2,4,0,0,0,0,0,1,0
36,360849,0,0,2,2,1,2,0,20,0,0,2,1
36,360850,0,2,1,1,3,0,0,0,0,0,1,0
36,360851,0,0,2,2,1,2,0,0,0,0,1,1
36,360852,0,0,1,1,4,0,0,0,0,0,1,0
36,360853,0,0,3,3,1,6,0,0,0,0,1,1
36,360854,0,0,4,4,4,2,0,0,0,0,1,0
36,360855,0,0,1,1,4,0,0,0,0,0,1,0
36,360856,0,0,3,3,1,6,0,0,0,0,1,0
36,360857,0,1,1,1,1,0,0,0,0,0,1,0
36,360858,0,0,2,2,4,0,0,0,0,0,1,0
36,360859,0,0,3,3,1,2,0,0,0,0,1,1
36,360860,0,0,2,2,1,2,0,0,0,0,1,1
36,360861,0,1,3,3,3,0,0,0,0,0,1,0
36,360862,0,1,2,2,4,0,0,0,0,0,1,0
36,360863,0,0,1,1,1,0,0,0,0,0,1,1
36,360864,0,0,2,2,3,2,0,0,0,0,1,1
36,360865,0,1,3,3,4,0,0,0,0,0,1,0
36,360866,0,1,1,1,3,0,0,0,0,0,1,0
36,360867,0,1,1,1,1,0,0,0,0,0,1,0
36,360868,0,1,1,1,4,0,0,0,0,0,1,0
36,360869,0,1,1,1,4,0,0,0,0,0,1,0
36,360870,0,1,2,2,4,0,0,0,0,0,1,0
36,360871,0,0,2,2,4,6,0,0,0,0,1,0
36,360872,0,0,4,4,3,2,0,0,0,0,1,0
36,360873,0,0,3,3,4,2,0,0,0,0,1,0
36,360874,0,1,1,1,1,0,0,23,0,0,1,0
36,360875,0,0,1,1,1,0,0,0,0,0,1,1
36,360876,0,0,2,2,2,2,0,0,0,0,1,1
36,360877,0,1,1,1,4,0,0,0,0,0,1,0
36,360878,0,0,1,1,2,0,0,0,0,0,1,0
36,360879,0,1,2,2,4,0,0,0,0,0,1,0
36,360880,0,1,1,1,4,0,0,0,0,0,1,0
36,360881,0,0,5,5,1,6,0,0,0,0,1,0
36,360882,0,0,1,1,1,0,0,0,0,0,1,0
36,360883,2,1,12,12,4,6,0,0,0,0,1,0
36,360884,0,1,1,1,1,0,0,0,0,0,1,0
36,360885,0,0,2,2,1,7,0,0,0,0,1,0
36,360886,0,0,3,3,1,1,0,0,0,0,2,1
36,360887,0,0,4,4,3,0,0,0,0,0,1,0
36,360888,0,0,5,5,2,0,0,0,0,0,1,1
36,360889,0,0,11,11,1,1,0,0,0,0,1,0
36,360890,1,0,2,2,4,6,0,0,0,0,1,0
36,360891,0,0,1,1,1,0,0,0,0,0,1,1
36,360892,0,0,3,3,1,0,0,0,0,0,2,0
36,360893,0,0,2,2,4,0,0,0,0,0,1,0
36,360894,0,0,5,5,1,6,0,0,0,0,2,0
36,360895,0,0,1,1,3,0,0,0,0,0,1,1
36,360896,0,1,1,1,3,0,0,0,0,0,1,0
36,360897,0,1,1,1,4,0,0,0,0,0,1,0
36,360898,0,0,1,1,4,0,0,0,0,0,1,0
36,360899,0,0,4,4,3,6,0,0,0,0,1,0
36,360900,0,0,1,1,1,0,0,0,0,0,1,1
36,360901,0,0,2,2,2,0,0,0,0,0,1,1
36,360902,0,0,2,2,1,9,0,0,0,0,1,0
36,360903,0,1,1,1,1,0,0,0,0,0,1,0
36,360904,0,0,2,2,1,2,0,0,0,0,1,0
36,360905,0,1,2,2,1,0,0,0,0,0,1,0
36,360906,0,0,1,1,1,0,0,0,0,0,1,0
36,360907,0,0,1,1,2,0,0,0,0,0,1,0
36,360908,0,0,4,4,2,6,0,0,0,0,2,0
36,360909,0,0,1,1,4,0,0,0,0,0,1,1
36,360910,0,1,1,1,4,0,0,0,0,0,1,0
36,360911,0,0,1,1,4,0,0,0,0,0,1,0
36,360912,0,0,4,4,1,2,0,0,0,0,1,0
36,360913,0,0,4,4,3,0,0,0,0,0,1,1
36,360914,0,0,2,2,3,0,0,0,0,0,1,1
36,360915,0,1,1,1,2,0,0,0,0,0,1,1
36,360916,1,0,2,2,4,0,0,0,0,0,1,1
36,360917,0,1,1,1,1,0,0,0,0,0,1,0
36,360918,0,3,2,2,4,0,0,0,0,0,1,0
36,360919,0,0,2,2,1,0,0,20,0,0,1,0
36,360920,0,1,1,1,4,0,0,0,0,0,1,0
36,360921,0,0,3,3,3,2,0,0,0,0,1,1
36,360922,0,1,1,1,3,0,0,0,0,0,1,0
36,360923,0,1,1,1,4,0,0,0,0,0,1,0
36,360924,0,0,3,3,4,2,0,0,0,0,1,0
36,360925,0,0,1,1,3,0,0,0,0,0,1,0
36,360926,0,1,1,1,4,0,0,0,0,0,1,1
36,360927,0,0,2,2,1,0,0,0,0,0,1,1
36,360928,0,1,2,2,3,0,0,0,0,0,1,0
36,360929,0,1,1,1,1,0,0,0,0,0,1,0
36,360930,0,1,1,1,3,0,0,0,0,0,1,0
36,360931,1,0,4,4,3,6,0,0,0,0,1,1
36,360932,1,0,1,1,2,0,0,0,0,0,1,0
36,360933,0,0,4,4,1,6,0,0,0,0,1,0
36,360934,0,0,2,2,1,2,0,0,0,0,1,0
